"regionSlug","sido","sgg","dong","sources","code","fullName"
"busan","부산광역시","강서구","가덕도동","가덕도동","2644058000","부산광역시 강서구 가덕도동"
"busan","부산광역시","강서구","가락동","가락동","2644055000","부산광역시 강서구 가락동"
"busan","부산광역시","강서구","강동동","강동동","2644053000","부산광역시 강서구 강동동"
"busan","부산광역시","강서구","녹산동","녹산동","2644056000","부산광역시 강서구 녹산동"
"busan","부산광역시","강서구","대저동","대저1동, 대저2동","2644051000","부산광역시 강서구 대저1동"
"busan","부산광역시","강서구","명지동","명지1동, 명지2동","2644053500","부산광역시 강서구 명지1동"
"busan","부산광역시","강서구","신호동","신호동","2644059000","부산광역시 강서구 신호동"
"busan","부산광역시","금정구","구서동","구서1동, 구서2동","2641068000","부산광역시 금정구 구서1동"
"busan","부산광역시","금정구","금사회동동","금사회동동","2641055500","부산광역시 금정구 금사회동동"
"busan","부산광역시","금정구","금성동","금성동","2641070000","부산광역시 금정구 금성동"
"busan","부산광역시","금정구","남산동","남산동","2641067000","부산광역시 금정구 남산동"
"busan","부산광역시","금정구","부곡동","부곡1동, 부곡2동, 부곡3동, 부곡4동","2641057000","부산광역시 금정구 부곡1동"
"busan","부산광역시","금정구","서동","서1동, 서2동, 서3동","2641051000","부산광역시 금정구 서1동"
"busan","부산광역시","금정구","선두구동","선두구동","2641063500","부산광역시 금정구 선두구동"
"busan","부산광역시","금정구","장전동","장전1동, 장전2동","2641060000","부산광역시 금정구 장전1동"
"busan","부산광역시","금정구","청룡노포동","청룡노포동","2641066500","부산광역시 금정구 청룡노포동"
"busan","부산광역시","남구","감만동","감만1동, 감만2동","2629062000","부산광역시 남구 감만1동"
"busan","부산광역시","남구","대연동","대연1동, 대연3동, 대연4동, 대연5동, 대연6동","2629051000","부산광역시 남구 대연1동"
"busan","부산광역시","남구","문현동","문현1동, 문현2동, 문현3동, 문현4동","2629068000","부산광역시 남구 문현1동"
"busan","부산광역시","남구","용당동","용당동","2629061000","부산광역시 남구 용당동"
"busan","부산광역시","남구","용호동","용호1동, 용호2동, 용호3동, 용호4동","2629057000","부산광역시 남구 용호1동"
"busan","부산광역시","남구","우암동","우암동","2629064500","부산광역시 남구 우암동"
"busan","부산광역시","동구","범일동","범일1동, 범일2동, 범일5동","2617065000","부산광역시 동구 범일1동"
"busan","부산광역시","동구","수정동","수정1동, 수정2동, 수정4동, 수정5동","2617056000","부산광역시 동구 수정1동"
"busan","부산광역시","동구","좌천동","좌천동","2617064500","부산광역시 동구 좌천동"
"busan","부산광역시","동구","초량동","초량1동, 초량2동, 초량3동, 초량6동","2617051000","부산광역시 동구 초량1동"
"busan","부산광역시","동래구","명륜동","명륜동","2626054500","부산광역시 동래구 명륜동"
"busan","부산광역시","동래구","명장동","명장1동, 명장2동","2626076100","부산광역시 동래구 명장1동"
"busan","부산광역시","동래구","복산동","복산동","2626052000","부산광역시 동래구 복산동"
"busan","부산광역시","동래구","사직동","사직1동, 사직2동, 사직3동","2626058000","부산광역시 동래구 사직1동"
"busan","부산광역시","동래구","수민동","수민동","2626051000","부산광역시 동래구 수민동"
"busan","부산광역시","동래구","안락동","안락1동, 안락2동","2626074000","부산광역시 동래구 안락1동"
"busan","부산광역시","동래구","온천동","온천1동, 온천2동, 온천3동","2626055000","부산광역시 동래구 온천1동"
"busan","부산광역시","부산진구","가야동","가야2동, 가야제1동","2623071000","부산광역시 부산진구 가야제1동"
"busan","부산광역시","부산진구","개금동","개금1동, 개금2동, 개금3동","2623074000","부산광역시 부산진구 개금1동"
"busan","부산광역시","부산진구","당감동","당감1동, 당감2동, 당감4동","2623067000","부산광역시 부산진구 당감1동"
"busan","부산광역시","부산진구","범천동","범천1동, 범천2동","2623077000","부산광역시 부산진구 범천1동"
"busan","부산광역시","부산진구","부암동","부암1동, 부암3동","2623064000","부산광역시 부산진구 부암1동"
"busan","부산광역시","부산진구","부전동","부전1동, 부전2동","2623051000","부산광역시 부산진구 부전1동"
"busan","부산광역시","부산진구","양정동","양정1동, 양정2동","2623056000","부산광역시 부산진구 양정1동"
"busan","부산광역시","부산진구","연지동","연지동","2623054000","부산광역시 부산진구 연지동"
"busan","부산광역시","부산진구","전포동","전포1동, 전포2동","2623060000","부산광역시 부산진구 전포1동"
"busan","부산광역시","부산진구","초읍동","초읍동","2623055000","부산광역시 부산진구 초읍동"
"busan","부산광역시","북구","구포동","구포1동, 구포2동, 구포3동","2632051000","부산광역시 북구 구포1동"
"busan","부산광역시","북구","금곡동","금곡동","2632053000","부산광역시 북구 금곡동"
"busan","부산광역시","북구","덕천동","덕천1동, 덕천2동, 덕천3동","2632055000","부산광역시 북구 덕천1동"
"busan","부산광역시","북구","만덕동","만덕1동, 만덕2동, 만덕3동","2632057100","부산광역시 북구 만덕1동"
"busan","부산광역시","북구","화명동","화명1동, 화명2동, 화명3동","2632054100","부산광역시 북구 화명1동"
"busan","부산광역시","사상구","감전동","감전동","2653064500","부산광역시 사상구 감전동"
"busan","부산광역시","사상구","괘법동","괘법동","2653062000","부산광역시 사상구 괘법동"
"busan","부산광역시","사상구","덕포동","덕포1동, 덕포2동","2653060000","부산광역시 사상구 덕포1동"
"busan","부산광역시","사상구","모라동","모라1동, 모라3동","2653059100","부산광역시 사상구 모라1동"
"busan","부산광역시","사상구","삼락동","삼락동","2653058000","부산광역시 사상구 삼락동"
"busan","부산광역시","사상구","엄궁동","엄궁동","2653068000","부산광역시 사상구 엄궁동"
"busan","부산광역시","사상구","주례동","주례1동, 주례2동, 주례3동","2653065000","부산광역시 사상구 주례1동"
"busan","부산광역시","사상구","학장동","학장동","2653067000","부산광역시 사상구 학장동"
"busan","부산광역시","사하구","감천동","감천1동, 감천2동","2638062000","부산광역시 사하구 감천1동"
"busan","부산광역시","사하구","괴정동","괴정1동, 괴정2동, 괴정3동, 괴정4동","2638051000","부산광역시 사하구 괴정1동"
"busan","부산광역시","사하구","구평동","구평동","2638061000","부산광역시 사하구 구평동"
"busan","부산광역시","사하구","다대동","다대1동, 다대2동","2638060100","부산광역시 사하구 다대1동"
"busan","부산광역시","사하구","당리동","당리동","2638055000","부산광역시 사하구 당리동"
"busan","부산광역시","사하구","신평동","신평1동, 신평2동","2638057100","부산광역시 사하구 신평1동"
"busan","부산광역시","사하구","장림동","장림1동, 장림2동","2638058000","부산광역시 사하구 장림1동"
"busan","부산광역시","사하구","하단동","하단1동, 하단2동","2638056100","부산광역시 사하구 하단1동"
"busan","부산광역시","서구","남부민동","남부민1동, 남부민2동","2614065000","부산광역시 서구 남부민1동"
"busan","부산광역시","서구","동대신동","동대신1동, 동대신2동, 동대신3동","2614051000","부산광역시 서구 동대신1동"
"busan","부산광역시","서구","부민동","부민동","2614059000","부산광역시 서구 부민동"
"busan","부산광역시","서구","서대신동","서대신1동, 서대신3동, 서대신4동","2614054000","부산광역시 서구 서대신1동"
"busan","부산광역시","서구","아미동","아미동","2614061500","부산광역시 서구 아미동"
"busan","부산광역시","서구","암남동","암남동","2614068000","부산광역시 서구 암남동"
"busan","부산광역시","서구","초장동","초장동","2614063000","부산광역시 서구 초장동"
"busan","부산광역시","서구","충무동","충무동","2614064000","부산광역시 서구 충무동"
"busan","부산광역시","수영구","광안동","광안1동, 광안2동, 광안3동, 광안4동","2650076000","부산광역시 수영구 광안1동"
"busan","부산광역시","수영구","남천동","남천1동, 남천2동","2650066000","부산광역시 수영구 남천1동"
"busan","부산광역시","수영구","망미동","망미1동, 망미2동","2650074000","부산광역시 수영구 망미1동"
"busan","부산광역시","수영구","민락동","민락동","2650080000","부산광역시 수영구 민락동"
"busan","부산광역시","수영구","수영동","수영동","2650073000","부산광역시 수영구 수영동"
"busan","부산광역시","연제구","거동","거제1동, 거제2동, 거제3동, 거제4동","2647061000","부산광역시 연제구 거제1동"
"busan","부산광역시","연제구","연산동","연산1동, 연산2동, 연산3동, 연산4동, 연산5동, 연산6동, 연산8동, 연산9동","2647065000","부산광역시 연제구 연산1동"
"busan","부산광역시","영도구","남항동","남항동","2620053000","부산광역시 영도구 남항동"
"busan","부산광역시","영도구","동삼동","동삼1동, 동삼2동, 동삼3동","2620065000","부산광역시 영도구 동삼1동"
"busan","부산광역시","영도구","봉래동","봉래1동, 봉래2동","2620059000","부산광역시 영도구 봉래1동"
"busan","부산광역시","영도구","신선동","신선동","2620058500","부산광역시 영도구 신선동"
"busan","부산광역시","영도구","영선동","영선1동, 영선2동","2620054000","부산광역시 영도구 영선1동"
"busan","부산광역시","영도구","청학동","청학1동, 청학2동","2620063000","부산광역시 영도구 청학1동"
"busan","부산광역시","중구","광복동","광복동","2611057000","부산광역시 중구 광복동"
"busan","부산광역시","중구","남포동","남포동","2611058000","부산광역시 중구 남포동"
"busan","부산광역시","중구","대청동","대청동","2611053000","부산광역시 중구 대청동"
"busan","부산광역시","중구","동광동","동광동","2611052000","부산광역시 중구 동광동"
"busan","부산광역시","중구","보수동","보수동","2611054500","부산광역시 중구 보수동"
"busan","부산광역시","중구","부평동","부평동","2611056000","부산광역시 중구 부평동"
"busan","부산광역시","중구","영주동","영주1동, 영주2동","2611059000","부산광역시 중구 영주1동"
"busan","부산광역시","중구","중앙동","중앙동","2611051000","부산광역시 중구 중앙동"
"busan","부산광역시","해운대구","반송동","반송1동, 반송2동","2635061000","부산광역시 해운대구 반송1동"
"busan","부산광역시","해운대구","반여동","반여1동, 반여2동, 반여3동, 반여4동","2635057000","부산광역시 해운대구 반여1동"
"busan","부산광역시","해운대구","송정동","송정동","2635056000","부산광역시 해운대구 송정동"
"busan","부산광역시","해운대구","우동","우1동, 우2동, 우3동","2635051000","부산광역시 해운대구 우1동"
"busan","부산광역시","해운대구","재송동","재송1동, 재송2동","2635065000","부산광역시 해운대구 재송1동"
"busan","부산광역시","해운대구","좌동","좌1동, 좌2동, 좌3동, 좌4동","2635055100","부산광역시 해운대구 좌1동"
"busan","부산광역시","해운대구","중동","중1동, 중2동","2635053000","부산광역시 해운대구 중1동"
"gyeonggi","경기도","고양시덕양구","고양동","고양동","4128159000","경기도 고양시덕양구 고양동"
"gyeonggi","경기도","고양시덕양구","관산동","관산동","4128160000","경기도 고양시덕양구 관산동"
"gyeonggi","경기도","고양시덕양구","능곡동","능곡동","4128161000","경기도 고양시덕양구 능곡동"
"gyeonggi","경기도","고양시덕양구","대덕동","대덕동","4128167000","경기도 고양시덕양구 대덕동"
"gyeonggi","경기도","고양시덕양구","삼송동","삼송1동, 삼송2동","4128157600","경기도 고양시덕양구 삼송1동"
"gyeonggi","경기도","고양시덕양구","성사동","성사1동, 성사2동","4128154000","경기도 고양시덕양구 성사1동"
"gyeonggi","경기도","고양시덕양구","원신동","원신동","4128152000","경기도 고양시덕양구 원신동"
"gyeonggi","경기도","고양시덕양구","주교동","주교동","4128151000","경기도 고양시덕양구 주교동"
"gyeonggi","경기도","고양시덕양구","창릉동","창릉동","4128158000","경기도 고양시덕양구 창릉동"
"gyeonggi","경기도","고양시덕양구","행신동","행신1동, 행신2동, 행신3동, 행신4동","4128164000","경기도 고양시덕양구 행신1동"
"gyeonggi","경기도","고양시덕양구","행주동","행주동","4128163000","경기도 고양시덕양구 행주동"
"gyeonggi","경기도","고양시덕양구","화전동","화전동","4128166000","경기도 고양시덕양구 화전동"
"gyeonggi","경기도","고양시덕양구","화정동","화정1동, 화정2동","4128162100","경기도 고양시덕양구 화정1동"
"gyeonggi","경기도","고양시덕양구","효자동","효자동","4128156000","경기도 고양시덕양구 효자동"
